Judet,An,Pop,Stab,Plec,Migr_szap,Migr_szap‰,Pop_stabila,Temporar absente,Perioada indelungata,Temporar absente‰,Absente perioada indelungata‰,Nat,Mort,Term_szap,Term_szap‰,M_Inf,M_Inf‰,Speranta de viata,Imbatranire demogr,Dependenta demogr,Salariati,Someri,Elevi prim,Elevi gimn,Superior,Analfabeti,Abandon primar,Abandon gimn,Medici,Medici/pop‰,Pers sanitar,Pers sanitar‰,Pat,Pat‰,Venit_tot,Venit_prop,Venit/pop,Supraf. locuib,Supraf_loc/pers,Locuinte exist,Suprafata locuibila/locuinte,Densitatea pop,"locuinte apa
potabila","locuinte
canalizare","lakas/electricitate
","incalzire  centrala/
lakas","konyha/
lakas","furdo/
lakas",Boli total,Tumori,Cardio vascular,Tumori%,Cardio_vasc%,Tumori/100000,Card_vasc/100000,Urban pop,Urban pop%,Kereset,GDP_EU%,GDP_RON,GDP/POP,ceg/terulet,ceg/pop,gdp milioane lei,nr pop 1 iulie dupa domociliu,gdp pe locuitor,indice infl,gdpreal,castig salarial,castig salarial real,personal didactic,populatie scolara,nr elevi/profesor ,elevi liceal si profesional,rata de ocupare=pop ocupata civila/resurse de munca,rata somajului,durata medie a vietii,rata mortalitatii infantile,pop agric,pop ocupata,pondere pop ocupata agricultura,rata criminalitatii,persoane condamnate definitiv,rata infractionaltatii,varsta medie,nr medici,nr medici la 10000loc,gaz nat distribuit uz casnic,gaz natural uz casnic/nr pop,supr locuibila in urban,populatie urbana,suprafata locuibila urban pe persoana,camere de locuit,camere per persoana,locuinte noi terminate,locuinte noi la 100000 persoane,pc-uri,PC-uri la 1000 de elevi,supr spatii verzi in urban,supr spatii verzi in urban/nr persoane,suprafata, drumuri nationale modrnizate,densitate drumuri nationale modernizate,supr fond forestier (mii ha),pondere fond forestier (ha),"Cantitate pesticide (kg; insecticide,fungicide,erbicide)",cantitate pesticide/km2,rata scolarizare ciclul2,elevi liceal si profesional.1,nr pop 15-18 ani,populatia conectata la sisteme de canalizare cu epurare,pondere pop conectata la sisteme de canalizare cu epurare,gini,Theil T,20 over 20,10 over 10,venituri proprii,venituri proprii pe locuitor,GDP,Venituri Totale,Venituri Proprii,Emigranti definitivi pe judete si localitati de plecare,Imigranti definitivi pe judete si localitati de destinatie,POPULATIA DUPA DOMICILIU la 1 ianuarie
Sibiu,2007,456523.0,7762.0,7151.0,611.0,1.34,,,,,,4392.0,4380.0,12.0,0.03,68.0,15.48,73.09,81.72,39.64,116266.0,,17665.0,17743.0,,,,,977.0,2.14,2023.0,4.43,2991.0,6.55,790859088.0,424626542.0,930.13,6834478.0,14.97,161952.0,42.2,84.04,,,,,,,4380.0,894.0,2606.0,20.41,59.5,195.83,570.84,313808.0,68.74,987.0,27.0,9337.24,20452.95,2.16,0.03,9361.2,456523.0,20505.4290802435,1.2177207936,16839.1877579937,987.0,810.530628357,5873.0,97347.0,16.5753447982,20182.0,65.4,3.1,73.09,15.5,28.2,179.7,15.6928213689,191.0,873.0,191.2280432749,37.9,1081.0,236.7898221995,126005.0,276.0101900671,4631176.0,313808.0,14.7579921481,400212.0,0.8766524359,2272.0,497.6748159457,6365.0,65.3846548943,442.0,14.085045633,5432.0,257.0,47.3122238586,198.4,36.5243004418,85047.0,15.6566642121,79.06448,20182.0,25526.001056353,197444.0,43.2495186442,0.2437796124,0.1240933993,2.982015387,4.2555409552,353673221.0,774.7106301325,9437200000.0,790859088.0,424626542.0,413.0,126.0,456189.0
Sibiu,2008,457982.0,8227.0,7271.0,956.0,2.09,,,,,,4729.0,4539.0,190.0,0.41,44.0,9.3,74.36,82.69,39.61,122491.0,,17720.0,17132.0,,,,,908.0,1.98,2059.0,4.5,2853.0,6.23,911728428.0,464318900.0,1013.84,6992770.0,15.27,164862.0,42.42,84.31,,,,,,,4539.0,903.0,2684.0,19.89,59.13,197.17,586.05,313848.0,68.53,1230.0,30.0,11959.33,26113.1,2.23,0.03,11916.4,457982.0,26019.3632064142,1.3133118759,19812.0215646653,1230.0,936.5635250647,5907.0,95237.0,16.1227357373,18991.0,65.5,3.1,74.36,9.3,27.5,180.5,15.2354570637,164.0,752.0,164.1985929578,38.2,1013.0,221.187732269,132744.0,289.8454524414,4757491.0,313848.0,15.1585831358,408176.0,0.8912490011,3040.0,663.7815459996,6979.0,73.2803427239,442.0,14.0832504907,5432.0,260.0,47.8645066274,190.0,34.9779086892,51985.0,9.5701399116,81.78725,18991.0,23220.0006724765,207300.0,45.2637876598,0.2419180256,0.1175819371,2.956953669,4.2272395912,390918374.0,853.5671139914,11868000000.0,911728428.0,464318900.0,430.0,176.0,457417.0
Sibiu,2009,459286.0,6791.0,6429.0,362.0,0.79,,,,,,4885.0,4526.0,359.0,0.78,42.0,8.6,74.24,82.27,39.66,115929.0,,17450.0,16948.0,,,,,957.0,2.08,2138.0,4.66,2853.0,6.21,952248592.0,472122149.0,1027.95,7100842.0,15.46,166663.0,42.61,84.55,,,,,,,4526.0,933.0,2592.0,20.61,57.27,203.14,564.35,314216.0,68.41,1311.0,28.0,12144.08,26441.22,2.16,0.03,12165.8,459286.0,26488.506072469,1.3867260098,19101.4705760427,1311.0,945.3922337742,5733.0,93365.0,16.285539857,18299.0,61.3,8.3,74.24,8.6,27.6,170.2,16.2162162162,172.0,789.0,171.7883845795,38.4,1076.0,234.2766816319,121769.0,265.1267402011,4835891.0,314216.0,15.3903397663,413451.0,0.9002037946,1919.0,417.8224461447,8170.0,87.5060247416,415.0,13.2074751127,5432.0,259.0,47.6804123711,194.4,35.7879234168,58268.0,10.7268041237,87.60532,18299.0,20888.0008657008,214495.0,46.7018371995,0.1973279848,0.080091973,2.40647789,3.0824770591,396515215.0,863.3296355648,12071700000.0,952248592.0,472122149.0,506.0,161.0,458919.0
Sibiu,2010,460610.0,9162.0,7979.0,1183.0,2.57,,,,,,4616.0,4516.0,100.0,0.22,27.0,5.85,74.68,82.58,40.0,109062.0,3.5,17218.0,16927.0,,,1.9,2.5,954.0,2.07,2082.0,4.52,2630.0,5.71,932764909.0,495853616.0,1076.52,7175884.0,15.58,167725.0,42.78,84.8,,,,,,,4516.0,882.0,2655.0,19.53,58.79,191.49,576.41,314598.0,68.3,1342.0,27.0,12129.39,26333.32,1.91,0.02,12167.0,460610.0,26414.9714509021,1.4711776238,17954.9845133499,1342.0,912.1944069371,5369.0,90204.0,16.8008940212,17235.0,62.4,5.8,74.68,5.8,27.9,175.6,15.8883826879,202.0,929.0,201.6890645014,38.7,1081.0,234.688782267,121904.0,264.6577364799,4892747.0,314598.0,15.5523779554,417171.0,0.9056924513,1147.0,249.0176070863,8216.0,91.0824353687,415.0,13.1914379621,5432.0,260.0,47.8645066274,195.9,36.0640648012,63801.0,11.7453976436,86.11472,17235.0,20013.9999293965,215744.0,46.8387573001,0.1987888798,0.0776692684,2.516529165,3.1960500353,416426571.0,904.0762705977,12132100000.0,932764909.0,495853616.0,315.0,109.0,460003.0
Sibiu,2011,461720.0,6233.0,6026.0,207.0,0.45,397322.0,5951.0,15093.0,14.98,37.99,4275.0,4329.0,-54.0,-0.12,34.0,7.95,75.16,82.06,40.16,111167.0,2.6,17129.0,16353.0,15.88,1.11,2.2,3.1,1014.0,2.2,1763.0,3.82,2528.0,5.48,1003672254.0,542603715.0,1175.18,8627650.0,18.69,171199.0,50.4,85.0,82.0,79.7,96.1,53.1,90.4,75.3,4329.0,867.0,2534.0,20.03,58.54,187.78,548.82,314569.0,68.13,1398.0,27.0,12704.2,27514.94,1.74,0.02,12759.0,461720.0,27633.6307718964,1.5563588082,17755.3084975227,1398.0,898.2504501284,5346.0,85016.0,15.9027310138,16645.0,62.4,4.3,75.16,8.0,28.3,176.6,16.0249150623,245.0,1132.0,245.1702330417,38.9,1115.0,241.4883479165,129728.0,280.9668197176,5857743.0,314569.0,18.6214884493,447763.0,0.9697717231,1104.0,239.105951659,8236.0,96.8758821869,419.0,13.3198121875,5432.0,282.0,51.9145802651,196.3,36.1377025037,63986.0,11.779455081,87.95244,16645.0,18925.000829994,221480.0,47.9684657368,0.2004704571,0.0782474341,2.501038141,3.2014933453,460595454.0,997.5644416529,12829100000.0,1003672254.0,542603715.0,509.0,134.0,461629.0
Sibiu,2012,462298.0,7050.0,6679.0,371.0,0.8,,,,,,4445.0,4571.0,-126.0,-0.27,33.0,7.42,75.76,83.06,40.57,116234.0,2.9,20058.0,16294.0,,,1.6,2.5,1053.0,2.28,1794.0,3.88,2604.0,5.63,967999136.0,543203293.0,1175.01,8694408.0,18.81,171877.0,50.59,85.11,,,,,,,4571.0,920.0,2692.0,20.13,58.89,199.01,582.31,314245.0,67.97,1429.0,29.0,13111.06,28360.62,1.79,0.02,13150.5,462298.0,28445.9374689053,1.6081855565,17688.2184734516,1429.0,888.5790537293,5381.0,82894.0,15.4049433191,15915.0,65.3,4.5,75.76,7.4,29.2,184.8,15.8008658009,198.0,791.0,171.1017568754,39.2,1181.0,255.4629265106,119538.0,258.5734742525,5900050.0,314245.0,18.7753186208,450875.0,0.9752908297,699.0,151.2011732692,8155.0,98.3786522547,424.0,13.4926570033,5432.0,283.0,52.0986745214,196.7,36.2113402062,55951.0,10.300257732,87.29636,15915.0,18231.0006969363,229909.0,49.7317747427,0.1962511611,0.0680159637,2.518483125,3.1364371519,457564317.0,989.7605375753,13182000000.0,967999136.0,543203293.0,529.0,208.0,462262.0
Sibiu,2013,462806.0,6807.0,6552.0,255.0,0.55,,,,,,4651.0,4494.0,157.0,0.34,37.0,7.96,75.96,84.45,41.08,118141.0,3.1,20293.0,16102.0,,,2.0,2.6,1026.0,2.22,1805.0,3.9,2604.0,5.63,1048877423.0,589119679.0,1272.93,8758639.0,18.93,172576.0,50.75,85.2,,,,,,,4494.0,962.0,2518.0,21.41,56.03,207.86,544.07,314005.0,67.85,1543.0,30.0,13618.06,29424.99,1.82,0.02,13624.0,462806.0,29437.8205986958,1.6721913416,17604.3374139221,1543.0,922.7412925699,5539.0,80722.0,14.5733886983,15205.0,65.5,4.8,75.96,8.0,27.7,185.0,14.972972973,235.0,941.0,203.3249352861,39.5,1203.0,259.9361287451,112373.0,242.8080016249,5931502.0,314005.0,18.8898329644,453821.0,0.9805858178,712.0,153.8441593238,8414.0,104.2342855727,425.0,13.5348163246,5432.0,287.0,52.8350515464,197.7,36.3954344624,56297.0,10.3639543446,83.88503,15205.0,18125.9993588844,251834.0,54.4145927235,0.1890687802,0.0592055353,2.421981301,2.8575562737,499993089.0,1080.3513545632,13679000000.0,1048877423.0,589119679.0,509.0,115.0,462809.0
Sibiu,2014,463436.0,7547.0,6841.0,706.0,1.52,,,,,,4606.0,4591.0,15.0,0.03,39.0,8.47,76.07,86.52,41.48,119662.0,2.9,20405.0,15751.0,,,2.6,2.6,1065.0,2.3,1851.0,3.99,2574.0,5.55,1187399693.0,626453334.0,1351.76,8851959.0,19.1,174103.0,50.84,85.32,,,,,,,4591.0,1001.0,2547.0,21.8,55.48,216.0,549.59,313863.0,67.73,1616.0,29.0,13917.09,30030.23,1.89,0.02,13930.1,463436.0,30058.3036276854,1.690083789,17785.096705606,1616.0,956.1656117475,5404.0,83418.0,15.4363434493,14516.0,71.6,4.6,76.07,8.5,26.6,182.6,14.5673603505,204.0,815.0,175.8603129666,39.8,1225.0,264.3299182627,103596.0,223.5389568355,5972375.0,313863.0,19.0286048371,458711.0,0.9898044174,1564.0,337.4791772758,9959.0,119.3867031096,471.0,15.0065474427,5432.0,329.0,60.5670103093,198.5,36.5427098675,55844.0,10.2805596465,79.18826,14516.0,18331.0000750111,283268.0,61.1234345195,0.1876994822,0.05859764,2.365342762,2.8403039789,532364206.0,1148.7329555753,13907400000.0,1187399693.0,626453334.0,355.0,183.0,463228.0
Sibiu,2015,464237.0,7760.0,7164.0,596.0,1.28,,,,,,4632.0,4724.0,-92.0,-0.2,29.0,6.26,76.18,88.61,42.14,119905.0,2.4,20389.0,15737.0,,,2.0,2.7,849.0,1.83,1578.0,3.4,2574.0,5.54,1308765635.0,677348202.0,1459.06,8973164.0,19.33,176372.0,50.88,85.46,,,,,,,4724.0,977.0,2731.0,20.68,57.81,210.45,588.28,313798.0,67.59,1822.0,32.0,15475.61,33335.58,1.91,0.02,15516.3,464237.0,33423.2299450496,1.6801122946,19893.4500103752,1822.0,1084.451322583,5266.0,81842.0,15.5415875427,13915.0,73.6,3.7,76.18,6.3,23.3,186.6,12.486602358,228.0,911.0,196.2359742976,40.0,1227.0,264.3046547345,113417.0,244.3084028201,6035926.0,313798.0,19.2350684198,465495.0,1.0027098228,2276.0,490.2668249192,10059.0,122.9075535788,518.0,16.5074347192,5432.0,329.0,60.5670103093,198.9,36.61634757,34340.0,6.3217967599,74.81585,13915.0,18599.000078192,290548.0,62.5861359607,0.2435383664,0.1031899993,3.033967468,4.1057727638,574329410.0,1237.1469960387,15527800000.0,1308765635.0,677348202.0,502.0,207.0,463852.0
Sibiu,2016,464890.0,8636.0,7944.0,692.0,1.49,,,,,,4684.0,4719.0,-35.0,-0.08,29.0,6.19,76.11,91.23,42.77,126764.0,2.2,20386.0,16029.0,,,2.2,2.4,898.0,1.93,1622.0,3.49,2574.0,5.54,1323075078.0,728867419.0,1567.83,9115873.0,19.61,179052.0,50.91,85.58,,,,,,,4719.0,958.0,2655.0,20.3,56.26,206.07,571.1,313237.0,67.38,2046.0,35.0,17668.82,38006.45,2.0,0.02,17706.2,464890.0,38086.8592570285,1.6540705541,23026.1394614972,2046.0,1236.9484451394,5234.0,81503.0,15.5718379824,13727.0,74.4,3.4,76.11,6.2,20.1,190.9,10.529072813,176.0,705.0,151.6487771301,40.3,1305.0,280.7115661769,120522.0,259.2484243584,6129252.0,313237.0,19.5674585059,473105.0,1.0176708469,2696.0,579.9221321173,10203.0,125.1855759911,584.0,18.6440299198,5432.0,329.0,60.5670103093,198.9,36.61634757,47309.0,8.7093151694,72.36162,13727.0,18970.0009480164,298777.0,64.2683215384,0.1903996419,0.0598267206,2.412459977,2.9985894392,616713374.0,1326.5791348491,17713600000.0,1323075078.0,728867419.0,705.0,215.0,464513.0
Sibiu,2017,466063.0,8963.0,7927.0,1036.0,2.22,,,,,,4792.0,4602.0,190.0,0.41,29.0,6.05,76.58,93.77,43.54,132369.0,1.6,20930.0,15310.0,,,,,933.0,2.0,1678.0,3.6,2574.0,5.52,1437683416.0,822889494.0,1765.62,9258473.0,19.87,181935.0,50.89,85.8,,,,,,,4602.0,966.0,2566.0,20.99,55.76,207.27,550.57,313287.0,67.22,2315.0,36.0,19446.53,41725.11,2.1,0.02,19490.7,466074.0,41818.8957118398,1.6762350995,24948.1088449987,2315.0,1381.0711878702,5239.0,80869.0,15.4359610613,13447.0,75.6,2.4,76.49,5.9,20.5,192.5,10.6493506494,205.0,820.0,175.9377266271,40.5,1332.0,285.7915266674,125404.0,269.0645691457,6220457.0,313298.0,19.8547612816,481532.0,1.0331664071,2886.0,619.2149744461,10521.0,130.0992963929,550.0,17.555171115,5432.0,329.0,60.5670103093,200.1,36.8372606775,56632.0,10.4256259205,71.44299,13447.0,18822.0005909607,309767.0,66.4630509318,0.1702292913,0.046872028,2.216305431,2.6735816499,698274471.0,1498.2051584083,,1437683416.0,822889494.0,689.0,250.0,465421.0
Sibiu,2018,467413.0,9569.0,8292.0,1277.0,2.73,,,,,,4545.0,4718.0,-173.0,-0.37,27.0,5.94,76.89,96.2,44.38,132797.0,1.2,20797.0,15289.0,,,,,961.0,2.06,1747.0,3.74,2574.0,5.51,1132081830.0,726723049.0,1554.78,9379560.0,20.07,184356.0,50.88,86.05,,,,,,,4718.0,995.0,2475.0,21.09,52.46,212.87,529.51,313359.0,67.04,2626.0,,,,2.21,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1132081830.0,726723049.0,,,466839.0
Suceava,1990,,8762.0,21353.0,-12591.0,-17.61,,,,,,11969.0,6801.0,5168.0,7.23,278.0,23.23,70.99,,,204418.0,,,,,,,,973.0,1.36,2964.0,4.15,4700.0,6.57,,,,6568893.0,9.19,220644.0,29.77,83.61,,,,,,,6801.0,978.0,3798.0,14.38,55.84,136.77,531.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suceava,1991,,6112.0,9218.0,-3106.0,-4.34,,,,,,10744.0,6933.0,3811.0,5.33,239.0,22.24,70.84,,,189256.0,,,,,,,,806.0,1.13,2876.0,4.02,4715.0,6.59,,,,7183446.0,10.05,217433.0,33.04,83.61,,,,,,,6933.0,950.0,3985.0,13.7,57.48,132.85,557.28,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
